"DR Number","Date Reported","Date Occurred","Time Occurred","Area ID","Area Name","Reporting District","Crime Code","Crime Code Description","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","Premise Description","Weapon Used Code","Weapon Description","Status Code","Crime Code 1","Crime Code 2","Crime Code 3","Crime Code 4","Address","Cross Street","lat","lon"
"172120963","12/09/2017","12/09/2017","1445","21","Topanga","2177","310","BURGLARY","1402","117","","","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","310","998","","","5500    CANOGA                       AV","","34.1715","-118.5974"
"172121058","12/11/2017","12/05/2017","2100","21","Topanga","2177","310","BURGLARY","1607 0344","117","","","203","OTHER BUSINESS","","","IC","310","","","","5500    TOPANGA CANYON               BL","","34.1757","-118.6056"
"172121062","12/07/2017","12/06/2017","1000","21","Topanga","2187","310","BURGLARY","1609 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5300    DON PIO                      DR","","34.166","-118.6047"
"172121158","12/13/2017","12/13/2017","2135","21","Topanga","2175","310","BURGLARY","0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","22200    TIARA                        ST","","34.1782","-118.6102"
"172121198","12/14/2017","12/13/2017","0001","21","Topanga","2177","310","BURGLARY","1607","117","","","203","OTHER BUSINESS","","","IC","310","","","","5500    TOPANGA CANYON               BL","","34.1757","-118.6056"
"172121283","12/16/2017","12/16/2017","0240","21","Topanga","2175","310","BURGLARY","1609 0329","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22600    VENTURA                      BL","","34.1675","-118.6189"
"172121284","12/17/2017","12/16/2017","2030","21","Topanga","2155","310","BURGLARY","1609 0344 0382","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","6200    TOPANGA CANYON               BL","","34.1828","-118.6102"
"172121286","12/16/2017","12/15/2017","2200","21","Topanga","2155","310","BURGLARY","0344","117","","","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","","","IC","310","","","","6000    FRAGRANS                     WY","","34.1809","-118.6127"
"172121373","12/18/2017","12/18/2017","0830","21","Topanga","2161","310","BURGLARY","1609 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","6000    PAT                          AV","","34.1797","-118.6584"
"172121387","12/18/2017","12/18/2017","1430","21","Topanga","2187","310","BURGLARY","0344 1601","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","4900    MEDINA                       RD","","34.1581","-118.6006"
"172121469","12/20/2017","12/16/2017","0515","21","Topanga","2175","310","BURGLARY","1609","117","","","210","RESTAURANT/FAST FOOD","","","IC","310","","","","22600    VENTURA                      BL","","34.1675","-118.6189"
"172121570","12/21/2017","12/21/2017","1800","21","Topanga","2155","310","BURGLARY","0344 1402","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","6000    AGAPANTHUS                   PL","","34.1797","-118.6093"
"172121579","12/22/2017","12/17/2017","1700","21","Topanga","2177","310","BURGLARY","1609 1202","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5600    AMORITA                      PL","","34.1735","-118.582"
"172121607","12/21/2017","12/21/2017","1830","21","Topanga","2177","310","BURGLARY","1606 0321","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20900    OXNARD                       ST","","34.1791","-118.5893"
"172121608","12/21/2017","12/21/2017","1815","21","Topanga","2177","310","BURGLARY","1606 0344","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","20900    OXNARD                       ST","","34.1791","-118.5893"
"172121712","12/26/2017","12/24/2017","1615","21","Topanga","2187","310","BURGLARY","1601 0344","117","","","218","BEAUTY/BARBER SHOP","","","IC","310","","","","5300    TOPANGA CANYON               BL","","34.166","-118.6058"
"172121727","12/26/2017","12/26/2017","1930","21","Topanga","2177","310","BURGLARY","1609","117","","","501","SINGLE FAMILY DWELLING","","","IC","310","","","","5900    LARAMIE                      AV","","34.1776","-118.5747"
